dataset_enum,dataset_value,run,seed,num_nodes,num_edges,maxcut_value,cut_ratio,partition_0_size,partition_1_size,epoch,time_sec,final_loss,best_loss
Graph_bat,bat_graph,1,1,131,1003,523,0.5214356929212363,85,46,25524,44.33435297012329,-523.0,-523.0
Graph_bat,bat_graph,2,2,131,1003,513,0.5114656031904287,87,44,28873,52.723289489746094,-513.0,-513.0
Graph_bat,bat_graph,3,3,131,1003,499,0.49750747756729813,80,51,24095,39.36370635032654,-499.0,-499.0
Graph_bat,bat_graph,4,4,131,1003,509,0.5074775672981057,86,45,87228,131.9662709236145,-509.0,-509.0
Graph_bat,bat_graph,5,5,131,1003,464,0.4626121635094716,76,55,22085,36.4023642539978,-464.0,-464.0
Graph_bat,bat_graph,6,6,131,1003,536,0.5343968095712861,79,52,23379,42.7570104598999,-536.0,-536.0
Graph_bat,bat_graph,7,7,131,1003,453,0.45164506480558325,77,54,22703,40.25048351287842,-453.0,-453.0
Graph_bat,bat_graph,8,8,131,1003,490,0.4885343968095713,55,76,98813,153.5152370929718,-490.0,-490.0
Graph_bat,bat_graph,9,9,131,1003,559,0.5573280159521435,36,95,24433,34.553969621658325,-559.0,-559.0
Graph_bat,bat_graph,10,10,131,1003,458,0.45663010967098705,70,61,90537,147.49815845489502,-458.0,-458.0
Graph_eat,eat_graph,1,1001,399,5993,3736,0.6233939596195561,122,277,25219,48.09024000167847,-3736.0,-3736.0
Graph_eat,eat_graph,2,1002,399,5993,3830,0.6390789254129818,132,267,25115,40.2789306640625,-3830.0,-3830.0
Graph_eat,eat_graph,3,1003,399,5993,3842,0.641081261471717,262,137,25936,41.49857544898987,-3842.0,-3842.0
Graph_eat,eat_graph,4,1004,399,5993,3739,0.6238945436342399,269,130,24376,39.95088505744934,-3739.0,-3739.0
Graph_eat,eat_graph,5,1005,399,5993,3774,0.6297346904722176,135,264,25497,40.12643766403198,-3774.0,-3774.0
Graph_eat,eat_graph,6,1006,399,5993,3632,0.6060403804438511,230,169,25500,37.842689752578735,-3632.0,-3632.0
Graph_eat,eat_graph,7,1007,399,5993,3724,0.621391623560821,284,115,23350,36.96199178695679,-3724.0,-3724.0
Graph_eat,eat_graph,8,1008,399,5993,3740,0.6240614049724679,291,108,77340,134.3549165725708,-3740.0,-3740.0
Graph_eat,eat_graph,9,1009,399,5993,3732,0.6227265142666444,278,121,24246,41.865662813186646,-3732.0,-3732.0
Graph_eat,eat_graph,10,1010,399,5993,3814,0.6364091440013349,129,270,24609,44.25858283042908,-3814.0,-3814.0
Graph_uat,uat_graph,1,2001,1190,13599,6932,0.5097433634826091,433,757,20354,66.63249611854553,-6932.0,-6932.0
Graph_uat,uat_graph,2,2002,1190,13599,6478,0.47635855577616,622,568,22262,65.63350749015808,-5887.0,-6478.0
Graph_uat,uat_graph,3,2003,1190,13599,6864,0.5047429958085153,757,433,61987,187.44475841522217,-6864.0,-6864.0
Graph_uat,uat_graph,4,2004,1190,13599,6832,0.5023898816089418,748,442,61378,160.82501792907715,-6832.0,-6832.0
Graph_uat,uat_graph,5,2005,1190,13599,6842,0.5031252297963086,430,760,22025,46.52840828895569,-6842.0,-6842.0
Graph_uat,uat_graph,6,2006,1190,13599,6903,0.5076108537392455,756,434,34793,82.06703543663025,-6903.0,-6903.0
Graph_uat,uat_graph,7,2007,1190,13599,7094,0.5216560041179499,436,754,21712,52.78514552116394,-7094.0,-7094.0
Graph_uat,uat_graph,8,2008,1190,13599,6450,0.4742995808515332,736,454,23025,55.021299839019775,-6450.0,-6450.0
Graph_uat,uat_graph,9,2009,1190,13599,5863,0.4311346422531068,457,733,20188,46.30883502960205,-5863.0,-5863.0
Graph_uat,uat_graph,10,2010,1190,13599,7049,0.5183469372747996,416,774,24270,54.00034952163696,-7049.0,-7049.0
