dataset_enum,dataset_value,run,seed,num_nodes,num_edges,mds_size,undominated_nodes,is_valid,coverage_ratio,repair_added_nodes,raw_mds_size,raw_undominated_nodes,raw_is_valid,raw_coverage_ratio,epoch,time_sec,final_loss,final_obj_loss,final_cons_loss,final_gini_loss
Graph_bat,bat_graph,1,1,131,1003,64,0,True,1.0,2,62,2,False,0.9847328244274809,99,0.13742995262145996,195.7127685546875,64.84361267089844,0.015576301142573357,130.71339416503906
Graph_bat,bat_graph,2,2,131,1003,67,0,True,1.0,0,67,0,True,1.0,99,0.11959958076477051,197.06329345703125,66.22229766845703,0.0,130.84100341796875
Graph_bat,bat_graph,3,3,131,1003,106,0,True,1.0,0,106,0,True,1.0,99,0.11948037147521973,198.91639709472656,68.83052062988281,0.0,130.08587646484375
Graph_bat,bat_graph,4,4,131,1003,125,0,True,1.0,0,125,0,True,1.0,99,0.12142229080200195,199.927001953125,70.18946075439453,0.0,129.73753356933594
Graph_bat,bat_graph,5,5,131,1003,110,0,True,1.0,0,110,0,True,1.0,99,0.1239466667175293,199.96337890625,71.43423461914062,0.001653558574616909,128.51260375976562
Graph_bat,bat_graph,6,6,131,1003,67,0,True,1.0,2,65,8,False,0.9389312977099237,99,0.12120628356933594,195.51458740234375,63.99125289916992,0.0804809033870697,130.71853637695312
Graph_bat,bat_graph,7,7,131,1003,87,0,True,1.0,1,86,1,False,0.9923664122137404,99,0.12199711799621582,196.65721130371094,65.7960433959961,0.0021126295905560255,130.8400421142578
Graph_bat,bat_graph,8,8,131,1003,10,0,True,1.0,9,1,128,False,0.022900763358778626,99,0.1205434799194336,192.3212127685547,59.61687469482422,0.31100499629974365,129.5942840576172
Graph_bat,bat_graph,9,9,131,1003,18,0,True,1.0,9,9,103,False,0.21374045801526717,99,0.12552309036254883,193.66189575195312,61.23124694824219,0.23675678670406342,130.06307983398438
Graph_bat,bat_graph,10,10,131,1003,120,0,True,1.0,0,120,0,True,1.0,99,0.12133288383483887,199.23269653320312,68.97854614257812,0.0,130.254150390625
Graph_eat,eat_graph,1,1001,399,5993,33,0,True,1.0,30,3,390,False,0.022556390977443608,99,0.17413330078125,571.964111328125,170.38949584960938,1.3524963855743408,388.04962158203125
Graph_eat,eat_graph,2,1002,399,5993,122,0,True,1.0,24,98,121,False,0.6967418546365914,99,0.16249513626098633,589.3831176757812,188.86863708496094,0.3589634895324707,396.9248352050781
Graph_eat,eat_graph,3,1003,399,5993,357,0,True,1.0,1,356,1,False,0.9974937343358395,99,0.1638650894165039,605.512451171875,209.13864135742188,7.272465154528618e-05,396.37310791015625
Graph_eat,eat_graph,4,1004,399,5993,258,0,True,1.0,2,256,2,False,0.9949874686716792,99,0.16413521766662598,595.04443359375,197.0354766845703,0.01724933087825775,397.83642578125
Graph_eat,eat_graph,5,1005,399,5993,56,0,True,1.0,28,28,280,False,0.2982456140350877,99,0.16556096076965332,588.847412109375,188.36474609375,0.3326626420021057,397.156005859375
Graph_eat,eat_graph,6,1006,399,5993,339,0,True,1.0,6,333,8,False,0.9799498746867168,99,0.16344952583312988,595.8416748046875,196.85687255859375,0.05767730250954628,398.4080505371094
Graph_eat,eat_graph,7,1007,399,5993,368,0,True,1.0,0,368,0,True,1.0,99,0.16417336463928223,603.7127685546875,206.63150024414062,0.0011298656463623047,397.0699462890625
Graph_eat,eat_graph,8,1008,399,5993,333,0,True,1.0,5,328,6,False,0.9849624060150376,99,0.1630840301513672,596.9678955078125,197.77528381347656,0.06018885225057602,398.5906982421875
Graph_eat,eat_graph,9,1009,399,5993,374,0,True,1.0,1,373,1,False,0.9974937343358395,99,0.16125226020812988,609.2984619140625,214.30001831054688,0.006771132815629244,394.93072509765625
Graph_eat,eat_graph,10,1010,399,5993,43,0,True,1.0,26,17,339,False,0.15037593984962405,99,0.16254687309265137,584.4722290039062,184.0435791015625,0.47003084421157837,395.72833251953125
Graph_uat,uat_graph,1,2001,1190,13599,480,0,True,1.0,102,378,426,False,0.6420168067226891,99,0.2644612789154053,1778.21533203125,570.0794677734375,3.02885103225708,1177.8472900390625
Graph_uat,uat_graph,2,2002,1190,13599,1182,0,True,1.0,0,1182,0,True,1.0,99,0.25756263732910156,1830.4598388671875,678.7117919921875,0.001431252807378769,1151.7337646484375
Graph_uat,uat_graph,3,2003,1190,13599,705,0,True,1.0,38,667,110,False,0.907563025210084,99,0.2635800838470459,1773.64306640625,574.6265869140625,1.7634079456329346,1181.3824462890625
Graph_uat,uat_graph,4,2004,1190,13599,1046,0,True,1.0,7,1039,19,False,0.9840336134453781,99,0.25867414474487305,1793.8975830078125,608.1724853515625,0.3373189866542816,1182.3519287109375
Graph_uat,uat_graph,5,2005,1190,13599,538,0,True,1.0,87,451,352,False,0.704201680672269,99,0.25278615951538086,1770.77685546875,567.9242553710938,2.270005226135254,1180.152587890625
Graph_uat,uat_graph,6,2006,1190,13599,1133,0,True,1.0,0,1133,0,True,1.0,99,0.2614459991455078,1823.983642578125,671.7276611328125,0.0013391668908298016,1152.24267578125
Graph_uat,uat_graph,7,2007,1190,13599,350,0,True,1.0,118,232,692,False,0.4184873949579832,99,0.25702476501464844,1765.630859375,559.4876098632812,2.575749635696411,1180.3857421875
Graph_uat,uat_graph,8,2008,1190,13599,837,0,True,1.0,33,804,53,False,0.9554621848739496,99,0.260547399520874,1775.915283203125,584.7947998046875,0.8902230262756348,1182.21826171875
Graph_uat,uat_graph,9,2009,1190,13599,245,0,True,1.0,125,120,918,False,0.22857142857142856,99,0.262650728225708,1779.070556640625,550.1475830078125,5.2372965812683105,1176.5499267578125
Graph_uat,uat_graph,10,2010,1190,13599,312,0,True,1.0,112,200,734,False,0.3831932773109244,99,0.2690417766571045,1767.4881591796875,561.5162963867188,2.5093178749084473,1180.878662109375
Graph_dblp,dblp_graph,1,3001,2591,3528,2271,0,True,1.0,131,2140,255,False,0.9015824006175222,99,0.24129486083984375,3974.83837890625,1459.7301025390625,4.23638916015625,2472.744384765625
Graph_dblp,dblp_graph,2,3002,2591,3528,1982,0,True,1.0,232,1750,489,False,0.811269780007719,99,0.21456384658813477,3954.9404296875,1387.11328125,9.014142036437988,2477.685791015625
Graph_dblp,dblp_graph,3,3003,2591,3528,1747,0,True,1.0,346,1401,785,False,0.6970281744500193,99,0.23092103004455566,3965.1826171875,1331.1318359375,11.771086692810059,2516.340087890625
Graph_dblp,dblp_graph,4,3004,2591,3528,1867,0,True,1.0,277,1590,614,False,0.7630258587417985,99,0.21819043159484863,3995.24462890625,1382.91455078125,13.599333763122559,2476.3369140625
