dataset_enum,dataset_value,run,seed,num_nodes,num_edges,mis_size,violation_edges,is_valid,epoch,time_sec,final_loss
Graph_bat,bat_graph,1,1,131,1003,35,0,True,24535,28.419315099716187,-35.0
Graph_bat,bat_graph,2,2,131,1003,38,0,True,26827,31.85899043083191,-38.0
Graph_bat,bat_graph,3,3,131,1003,41,0,True,31676,37.05103421211243,-41.0
Graph_bat,bat_graph,4,4,131,1003,36,0,True,33150,38.00365400314331,-36.0
Graph_bat,bat_graph,5,5,131,1003,45,0,True,28806,32.653767585754395,-45.0
Graph_bat,bat_graph,6,6,131,1003,46,0,True,31541,35.2513587474823,-46.0
Graph_bat,bat_graph,7,7,131,1003,40,0,True,28050,30.424224853515625,-40.0
Graph_bat,bat_graph,8,8,131,1003,48,1,False,61291,66.29246830940247,-46.0
Graph_bat,bat_graph,9,9,131,1003,44,1,False,26372,28.427760124206543,-42.0
Graph_bat,bat_graph,10,10,131,1003,36,0,True,26566,28.051265954971313,-36.0
Graph_eat,eat_graph,1,1001,399,5993,157,1,False,28423,33.995219469070435,-155.0
Graph_eat,eat_graph,2,1002,399,5993,156,1,False,30057,35.39910054206848,-154.0
Graph_eat,eat_graph,3,1003,399,5993,142,2,False,30515,36.00020146369934,-138.0
Graph_eat,eat_graph,4,1004,399,5993,120,2,False,28332,31.680816411972046,-116.0
Graph_eat,eat_graph,5,1005,399,5993,149,0,True,30747,34.86290264129639,-149.0
Graph_eat,eat_graph,6,1006,399,5993,140,1,False,28444,32.087244510650635,-138.0
Graph_eat,eat_graph,7,1007,399,5993,146,2,False,29315,32.70975947380066,-142.0
Graph_eat,eat_graph,8,1008,399,5993,146,2,False,32493,36.47159290313721,-142.0
Graph_eat,eat_graph,9,1009,399,5993,85,1,False,27082,30.58624505996704,-83.0
Graph_eat,eat_graph,10,1010,399,5993,150,1,False,28732,32.29953694343567,-148.0
Graph_uat,uat_graph,1,2001,1190,13599,444,8,False,24943,40.17581915855408,-428.0
Graph_uat,uat_graph,2,2002,1190,13599,360,4,False,24868,40.19592785835266,-352.0
Graph_uat,uat_graph,3,2003,1190,13599,423,5,False,25341,41.15692663192749,-413.0
Graph_uat,uat_graph,4,2004,1190,13599,415,7,False,23857,38.264039754867554,-401.0
Graph_uat,uat_graph,5,2005,1190,13599,428,3,False,24979,39.980801582336426,-422.0
Graph_uat,uat_graph,6,2006,1190,13599,380,5,False,26536,43.12945580482483,-370.0
Graph_uat,uat_graph,7,2007,1190,13599,423,4,False,26357,42.60661840438843,-415.0
Graph_uat,uat_graph,8,2008,1190,13599,425,5,False,24240,39.06331944465637,-415.0
Graph_uat,uat_graph,9,2009,1190,13599,423,5,False,23817,38.39537596702576,-413.0
Graph_uat,uat_graph,10,2010,1190,13599,437,3,False,25643,41.20100378990173,-431.0
Graph_dblp,dblp_graph,1,3001,2591,3528,620,104,False,14921,33.86149191856384,-412.0
Graph_dblp,dblp_graph,2,3002,2591,3528,642,113,False,18075,42.52610993385315,-416.0
Graph_dblp,dblp_graph,3,3003,2591,3528,680,120,False,13966,31.685659408569336,-440.0
Graph_dblp,dblp_graph,4,3004,2591,3528,621,106,False,14749,33.24527096748352,-409.0
Graph_dblp,dblp_graph,5,3005,2591,3528,643,114,False,14202,32.354621171951294,-415.0
Graph_dblp,dblp_graph,6,3006,2591,3528,681,115,False,14134,34.0898699760437,-451.0
Graph_dblp,dblp_graph,7,3007,2591,3528,625,106,False,14793,33.67793297767639,-413.0
Graph_dblp,dblp_graph,8,3008,2591,3528,667,110,False,15527,36.20561766624451,-447.0
Graph_dblp,dblp_graph,9,3009,2591,3528,679,116,False,13809,31.26276135444641,-447.0
Graph_dblp,dblp_graph,10,3010,2591,3528,663,123,False,14609,33.53168535232544,-417.0
Graph_Cora,cora_graph,1,4001,2708,5278,684,41,False,18844,49.193483114242554,-602.0
Graph_Cora,cora_graph,2,4002,2708,5278,712,51,False,21860,58.27070474624634,-610.0
Graph_Cora,cora_graph,3,4003,2708,5278,623,42,False,20287,70.2345027923584,-539.0
Graph_Cora,cora_graph,4,4004,2708,5278,595,44,False,19603,66.88408493995667,-507.0
Graph_Cora,cora_graph,5,4005,2708,5278,612,41,False,18229,61.02698087692261,-530.0
