dataset_enum,dataset_value,dataset_type,file_path,run,seed,num_nodes,num_edges,mds_size,undominated_nodes,is_valid,time_sec
Graph_Cora,cora_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/cora_graph.txt,1,2,2708,5278,1121,0,True,0.5357661247253418
Graph_Cora,cora_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/cora_graph.txt,2,3,2708,5278,1086,0,True,0.5265610218048096
Graph_Cora,cora_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/cora_graph.txt,3,4,2708,5278,1129,0,True,0.5517411231994629
Graph_Cora,cora_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/cora_graph.txt,4,5,2708,5278,1115,0,True,0.534977912902832
Graph_Cora,cora_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/cora_graph.txt,5,6,2708,5278,1135,0,True,0.5484955310821533
Graph_Cora,cora_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/cora_graph.txt,6,7,2708,5278,1102,0,True,0.537001371383667
Graph_Cora,cora_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/cora_graph.txt,7,8,2708,5278,1092,0,True,0.5378694534301758
Graph_Cora,cora_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/cora_graph.txt,8,9,2708,5278,1141,0,True,0.5567803382873535
Graph_Cora,cora_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/cora_graph.txt,9,10,2708,5278,1081,0,True,0.5197925567626953
Graph_Cora,cora_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/cora_graph.txt,10,11,2708,5278,1095,0,True,0.5267734527587891
Graph_Citeseer,citeseer_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/citeseer_graph.txt,1,1002,3279,4552,1523,0,True,0.7098252773284912
Graph_Citeseer,citeseer_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/citeseer_graph.txt,2,1003,3279,4552,1524,0,True,0.7304260730743408
Graph_Citeseer,citeseer_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/citeseer_graph.txt,3,1004,3279,4552,1517,0,True,0.713547945022583
Graph_Citeseer,citeseer_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/citeseer_graph.txt,4,1005,3279,4552,1518,0,True,0.721350908279419
Graph_Citeseer,citeseer_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/citeseer_graph.txt,5,1006,3279,4552,1570,0,True,0.7464816570281982
Graph_Citeseer,citeseer_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/citeseer_graph.txt,6,1007,3279,4552,1539,0,True,0.740248441696167
Graph_Citeseer,citeseer_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/citeseer_graph.txt,7,1008,3279,4552,1543,0,True,0.7227632999420166
Graph_Citeseer,citeseer_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/citeseer_graph.txt,8,1009,3279,4552,1568,0,True,0.7487609386444092
Graph_Citeseer,citeseer_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/citeseer_graph.txt,9,1010,3279,4552,1534,0,True,0.7273972034454346
Graph_Citeseer,citeseer_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/citeseer_graph.txt,10,1011,3279,4552,1558,0,True,0.7498154640197754
Graph_Amazon_PC,amazon_electronics_computers_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/amazon_electronics_computers_graph.txt,1,2002,13471,245861,2696,0,True,40.956143617630005
Graph_Amazon_PC,amazon_electronics_computers_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/amazon_electronics_computers_graph.txt,2,2003,13471,245861,2498,0,True,37.19157886505127
Graph_Amazon_PC,amazon_electronics_computers_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/amazon_electronics_computers_graph.txt,3,2004,13471,245861,2581,0,True,40.64573121070862
Graph_Amazon_PC,amazon_electronics_computers_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/amazon_electronics_computers_graph.txt,4,2005,13471,245861,2589,0,True,39.422043561935425
Graph_Amazon_PC,amazon_electronics_computers_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/amazon_electronics_computers_graph.txt,5,2006,13471,245861,2593,0,True,39.37789487838745
Graph_Amazon_PC,amazon_electronics_computers_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/amazon_electronics_computers_graph.txt,6,2007,13471,245861,2687,0,True,39.16349148750305
Graph_Amazon_PC,amazon_electronics_computers_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/amazon_electronics_computers_graph.txt,7,2008,13471,245861,2609,0,True,39.64353132247925
Graph_Amazon_PC,amazon_electronics_computers_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/amazon_electronics_computers_graph.txt,8,2009,13471,245861,2567,0,True,39.58883810043335
Graph_Amazon_PC,amazon_electronics_computers_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/amazon_electronics_computers_graph.txt,9,2010,13471,245861,2642,0,True,40.87548303604126
Graph_Amazon_PC,amazon_electronics_computers_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/amazon_electronics_computers_graph.txt,10,2011,13471,245861,2554,0,True,39.09006881713867
Graph_Amazon_Photo,amazon_electronics_photo_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/amazon_electronics_photo_graph.txt,1,3002,7535,119081,1414,0,True,11.0315580368042
Graph_Amazon_Photo,amazon_electronics_photo_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/amazon_electronics_photo_graph.txt,2,3003,7535,119081,1455,0,True,11.277167320251465
Graph_Amazon_Photo,amazon_electronics_photo_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/amazon_electronics_photo_graph.txt,3,3004,7535,119081,1414,0,True,11.057522296905518
